PLU,Barcode,Name,Expiry,W/P,Template,ean13,MRP,USP
872,872,Baasa - Boneless Fillet (480g to 500g Pack),5,0,1,8904305601189,756,1.51
1595,1595,Tuna - Loin Cut (250g to 270g Pack),5,0,1,8904305601462,225,0.83
1663,1663,Trevally / Vatta (Large) - Steaks(280g to 300g Pack),5,0,1,8904305601493,454,1.51
1707,1707,Squid - Rings (240g to 260g Pack),5,0,1,8904305601851,506,1.95
2716,2716,Seer(750g to 2kg)-Skinless Cubes(300g to 320g Pack),5,0,1,8904305601301,898,2.81
2717,2717,Seer (5kg+)- Skinless Cubes (300g-320g Pack),5,0,1,8904305601271,877,2.74
2740,2740,Motha - Skinless CurryCut (400g to 420g),5,0,1,8904305601592,1038,2.47
3421,3421,Baasa - Fillet (480g - 500g Pack),5,0,1,8904305601646,650,1.3
3567,3567,Seer Fish (5kg+) - Steaks (400g to 420 Pack),5,0,1,8904305601455,984,2.34
3636,3636,Baasa - Tikka Cut (400g to 420g Pack),5,0,1,8904305601868,650,1.55
3637,3637,Baasa - Fish Finger Cut (420g to 400g Pack),5,0,1,8904305601653,650,1.55
4024,4024,Seer Fish (750g to 2kg)- Steaks(400g to 420g Pack),5,0,1,8904305601288,977,2.33
4848,4848,Grouper/ Reef Cod(Large) - Fillet(300g to 320g Pack),5,0,1,8904305601516,629,1.97
4858,4858,Tilapia Fillet - 480g to 500g Pack,5,0,1,8904305601714,550,1.38
4864,4864,Singhara / Aar - Fillet (250gm Pack),5,0,1,8904305601745,860,3.19
4899,4899,Catla(Extra Lrg 4kg+)-Bengali Cut w/o Head.480g+ pck,5,0,1,8904305601691,268,0.56
5125,5125,Premium Mathi - Whole Cleaned (480g to 500g Pack),5,0,1,8904305699780,478,1
5130,5130,Tiger Prawn - Peeled & Deveined (230g to 250g Pack),5,0,1,8904305601806,549,2.2
5148,5148,Indian Prawn/Venami(70+ Count/kg)-PD (240g-250g pck),5,0,1,8904305601370,399,1.66
5149,5149,Red Snapper Large Boneless Fillet 240 to 260g Pack,5,0,1,8904305601547,624,2.4
5150,5150,Red Snapper Large Skinless Curry Cut 340 to 360g Pack,5,0,1,8904305601523,399,1.11
5151,5151,Red Snapper Large Steaks 280 to 300g Pack,5,0,1,8904305601530,406,1.35
5255,5255,Bhetki Bengali Curry Cut 330 to 350g Pack,5,0,1,8904305601752,525,1.5
5256,5256,Bhetki Steak Cut 280 to 300g Pack,5,0,1,8904305601769,541,1.8
5293,5293,Indian Prawns (100+ Count/kg) Cleaned 240-260g Pack,5,0,1,8904305601783,325,1.25
5295,5295,Indian Prawns (100+ Count/kg) Whole 480 to 500g Pack,5,0,1,8904305601776,325,0.65
5379,5379,Tiger Prawn - Headless (240g to 260g pack),5,0,1,8904305601813,422,1.69
5381,5381,Tiger Prawn - Whole (240g to 260g pack),5,0,1,8904305601790,274,1.14
5425,5425,Anchovy (Medium) - Whole Cleaned (240g to 260g pack),5,0,1,8904305601585,256,0.98
5427,5427,Anchovy (Medium) - Whole 240g to 260g pack,5,0,1,8904305601578,159,0.61
5683,5683,Kerala Sardine / Mathi - Whole 480-500g Pack,5,0,1,8904305601660,175,0.35
6188,6188,Kerala Sardine / Naadan Mathi / Tarli,5,0,1,8904305601677,291,0.58
7661,7661,Baasa-Bengali Cut(May include head piece) 480g-500g,5,0,1,8904305601639,167,0.35
8018,8018,Trevally / Vatta(Large) - Curry Cut(480g-500g Pack),5,0,1,8904305601486,402,0.84
8020,8020,Yellow Fin Tuna / Kera - Curry Cut (480g to 500g),5,0,1,8904305601479,389,0.78
8093,8093,Mackerel(5 to 9 Count)-Curry Cut(480g to 500g pack),5,0,1,8904305601561,291,0.58
8097,8097,Rohu (Grade: 1-1.5kg)-Bengali Cut Headless(480g Pck),5,0,1,8904305601349,211,0.42
8098,8098,Rohu(Grade 650g-900g)-Bengali Cut withHead 480g pck,5,0,1,8904305601387,153,0.31
8099,8099,Tilapia (Large) - Boneless Fillet(480g to 500g Pack),5,0,1,8904305601226,326,0.65
8100,8100,Rupchanda - Curry Cut (480g to 500g Pack),5,0,1,8904305601240,152,0.3
8101,8101,Roopchand - Steaks (480g to 500g Pack),5,0,1,8904305601233,203,0.41
8103,8103,Premium Sardine(Small)-Whole Cleaned(480g-500g pck),5,0,1,8904305601325,295,0.61
8104,8104,Tilapia (Large) - Curry Cut (480g to 500g Pack),5,0,1,8904305601707,139,0.28
8106,8106,Mackerel(5 to 9 Cnt/kg)-Whole Cleaned(480g-550g pak),5,0,1,8904305601202,465,0.97
8114,8114,Rohu / Rui (Size/Grade: 1-1.5kg),5,0,1,8904305601332,288,0.6
8116,8116,Mackerel(10-14 Cnt/kg)-Whole Cleaned(480g-550g Pack),5,0,1,8904305601219,455,0.83
8117,8117,Indian Prawn/Venami(70+ Cnt/kg)-Whole(480g-500g Pck),5,0,1,8904305601356,399,0.8
8118,8118,Indian Prawns/Venami(70+ Count/kg)-Headless 480g pck,5,0,1,8904305601363,734,1.53
8119,8119,Catla(1kg to 2kg)-BengaliCut Headless(480g-500g pck),5,0,1,8904305601394,417,0.83
8120,8120,Catla(1kg-2kg)-Bengali Cut with Head(480g-500g pck),5,0,1,8904305601400,300,0.6
8121,8121,Indian Prawn/Venami(60+ Cnt/kg)-Whole(480g-500g pck),5,0,1,8904305601417,425,0.85
8122,8122,Indian Prawn/Venami(60+ Cnt/kg) - Headless 480g pck,5,0,1,8904305601424,773,1.55
8123,8123,Indian Prawn/Venami(60+ Cnt/kg)-PD(240g to 250g pck),5,0,1,8904305601431,425,0.17
8124,8124,Seer Fish(5kg+)-Curry Cut withSkin(480g to 500g pck),5,0,1,8904305601264,1110,2.22
8125,8125,Seer Fish(750g to 2kg)-Curry Cut(480g to 500g Pack),5,0,1,8904305601295,1013,2.03
8126,8126,Roopchand(Small) - Curry Cut (480g to 500g Pack),5,0,1,8904305601318,238,0.5
8127,8127,Grouper/Reef Cod(Large) - CurryCut 480g to 500g Pack,5,0,1,8904305601509,634,1.32
8128,8128,Mackerel(5 to 9 Count/kg) - Whole(480g to 550g Pack),5,0,1,8904305601554,302,0.63
8129,8129,Sail Fish - Skinless Curry Cut (480g to 500g Pack),5,0,1,8904305601684,441,0.88
8130,8130,Tuna - Curry Cut (480g to 500g Pack),5,0,1,8904305601608,443,0.89
8131,8131,Desi Kolkata Pabda - Whole (480g to 550g Pack),5,0,1,8904305601615,449,0.82
